Period,Value
Jan-1992,117798
Feb-1992,118137
Mar-1992,118464
Apr-1992,118365
May-1992,118129
Jun-1992,120285
Jul-1992,119470
Aug-1992,120572
Sep-1992,121252
Oct-1992,121242
Nov-1992,122368
Dec-1992,123435
Jan-1993,123313
Feb-1993,123399
Mar-1993,124773
Apr-1993,125033
May-1993,124670
Jun-1993,124752
Jul-1993,125102
Aug-1993,126359
Sep-1993,126840
Oct-1993,127086
Nov-1993,127481
Dec-1993,128851
Jan-1994,129029
Feb-1994,130021
Mar-1994,129342
Apr-1994,130573
May-1994,133392
Jun-1994,133462
Jul-1994,135588
Aug-1994,136055
Sep-1994,137061
Oct-1994,139409
Nov-1994,140240
Dec-1994,141975
Jan-1995,143094
Feb-1995,144919
Mar-1995,146537
Apr-1995,147705
May-1995,148581
Jun-1995,149443
Jul-1995,150469
Aug-1995,150618
Sep-1995,151232
Oct-1995,152682
Nov-1995,153588
Dec-1995,154089
Jan-1996,154900
Feb-1996,154570
Mar-1996,154312
Apr-1996,155453
May-1996,154947
Jun-1996,154495
Jul-1996,155306
Aug-1996,155878
Sep-1996,156139
Oct-1996,156044
Nov-1996,156577
Dec-1996,156683
Jan-1997,157579
Feb-1997,157794
Mar-1997,159288
Apr-1997,160033
May-1997,161272
Jun-1997,164814
Jul-1997,163333
Aug-1997,163571
Sep-1997,165511
Oct-1997,165240
Nov-1997,165880
Dec-1997,168089
Jan-1998,168966
Feb-1998,170998
Mar-1998,172636
Apr-1998,172840
May-1998,173748
Jun-1998,172720
Jul-1998,172942
Aug-1998,175111
Sep-1998,176002
Oct-1998,177071
Nov-1998,177194
Dec-1998,178918
Jan-1999,179178
Feb-1999,180248
Mar-1999,180863
Apr-1999,180051
May-1999,181435
Jun-1999,182279
Jul-1999,183757
Aug-1999,183727
Sep-1999,185141
Oct-1999,186906
Nov-1999,189728
Dec-1999,190899
Jan-2000,191936
Feb-2000,193246
Mar-2000,194488
Apr-2000,196481
May-2000,198000
Jun-2000,200004
Jul-2000,200411
Aug-2000,201261
Sep-2000,200724
Oct-2000,201363
Nov-2000,202282
Dec-2000,201797
Jan-2001,202190
Feb-2001,201416
Mar-2001,200725
Apr-2001,200357
May-2001,199736
Jun-2001,196353
Jul-2001,194733
Aug-2001,193183
Sep-2001,191933
Oct-2001,191362
Nov-2001,187523
Dec-2001,185517
Jan-2002,184290
Feb-2002,182228
Mar-2002,181823
Apr-2002,181309
May-2002,181174
Jun-2002,181355
Jul-2002,182768
Aug-2002,183875
Sep-2002,184291
Oct-2002,183686
Nov-2002,184298
Dec-2002,185048
Jan-2003,184548
Feb-2003,186175
Mar-2003,187079
Apr-2003,187822
May-2003,186831
Jun-2003,186271
Jul-2003,185311
Aug-2003,184798
Sep-2003,185075
Oct-2003,185888
Nov-2003,186376
Dec-2003,189372
Jan-2004,190160
Feb-2004,193021
Mar-2004,195370
Apr-2004,196256
May-2004,199551
Jun-2004,202131
Jul-2004,205506
Aug-2004,209396
Sep-2004,210342
Oct-2004,212902
Nov-2004,215392
Dec-2004,216684
Jan-2005,219770
Feb-2005,221669
Mar-2005,222526
Apr-2005,224089
May-2005,224759
Jun-2005,226915
Jul-2005,228207
Aug-2005,228317
Sep-2005,227990
Oct-2005,231445
Nov-2005,233310
Dec-2005,236213
Jan-2006,237180
Feb-2006,239685
Mar-2006,241186
Apr-2006,246129
May-2006,247831
Jun-2006,249492
Jul-2006,252439
Aug-2006,254361
Sep-2006,257073
Oct-2006,259768
Nov-2006,260804
Dec-2006,259671
Jan-2007,261088
Feb-2007,261822
Mar-2007,262252
Apr-2007,261190
May-2007,262398
Jun-2007,261842
Jul-2007,260741
Aug-2007,261259
Sep-2007,262349
Oct-2007,262167
Nov-2007,263561
Dec-2007,265909
Jan-2008,269529
Feb-2008,271619
Mar-2008,272505
Apr-2008,276675
May-2008,278326
Jun-2008,279513
Jul-2008,282984
Aug-2008,286708
Sep-2008,288414
Oct-2008,286738
Nov-2008,285876
Dec-2008,282469
Jan-2009,279006
Feb-2009,271443
Mar-2009,263590
Apr-2009,257588
May-2009,252202
Jun-2009,247959
Jul-2009,243682
Aug-2009,239596
Sep-2009,237313
Oct-2009,237094
Nov-2009,236602
Dec-2009,234604
Jan-2010,234438
Feb-2010,236087
Mar-2010,239006
Apr-2010,239116
May-2010,240812
Jun-2010,242130
Jul-2010,243991
Aug-2010,246497
Sep-2010,249129
Oct-2010,251996
Nov-2010,254245
Dec-2010,257356
Jan-2011,258876
Feb-2011,261152
Mar-2011,262504
Apr-2011,263271
May-2011,268908
Jun-2011,272789
Jul-2011,275406
Aug-2011,278447
Sep-2011,279776
Oct-2011,282282
Nov-2011,282933
Dec-2011,286079
Jan-2012,288017
Feb-2012,290436
Mar-2012,293112
Apr-2012,296357
May-2012,298721
Jun-2012,300513
Jul-2012,302688
Aug-2012,302275
Sep-2012,304747
Oct-2012,308402
Nov-2012,309644
Dec-2012,310227
Jan-2013,313012
Feb-2013,313091
Mar-2013,314491
Apr-2013,316162
May-2013,313774
Jun-2013,314241
Jul-2013,316259
Aug-2013,318634
Sep-2013,319107
Oct-2013,320409
Nov-2013,321877
Dec-2013,326336
Jan-2014,327999
Feb-2014,330580
Mar-2014,333065
Apr-2014,335806
May-2014,339192
Jun-2014,341505
Jul-2014,342300
Aug-2014,345108
Sep-2014,347953
Oct-2014,348039
Nov-2014,351179
Dec-2014,352162
Jan-2015,354479
Feb-2015,356004
Mar-2015,357673
Apr-2015,357862
May-2015,359484
Jun-2015,359889
Jul-2015,"NA"
Aug-2015,"NA"
Sep-2015,"NA"
Oct-2015,"NA"
Nov-2015,"NA"
Dec-2015,"NA"
