Period,Value
Jan-1992,67861
Feb-1992,69749
Mar-1992,70226
Apr-1992,71014
May-1992,69791
Jun-1992,71730
Jul-1992,72301
Aug-1992,71985
Sep-1992,72287
Oct-1992,72932
Nov-1992,74205
Dec-1992,73770
Jan-1993,77007
Feb-1993,76934
Mar-1993,74823
Apr-1993,77212
May-1993,78460
Jun-1993,77387
Jul-1993,79739
Aug-1993,79377
Sep-1993,79368
Oct-1993,80188
Nov-1993,79935
Dec-1993,79080
Jan-1994,81279
Feb-1994,81767
Mar-1994,83211
Apr-1994,83684
May-1994,84445
Jun-1994,84982
Jul-1994,86119
Aug-1994,89261
Sep-1994,88927
Oct-1994,90925
Nov-1994,91055
Dec-1994,92625
Jan-1995,93366
Feb-1995,94218
Mar-1995,92726
Apr-1995,93875
May-1995,94940
Jun-1995,94797
Jul-1995,94492
Aug-1995,95584
Sep-1995,96439
Oct-1995,96482
Nov-1995,97571
Dec-1995,99578
Jan-1996,96733
Feb-1996,97049
Mar-1996,98536
Apr-1996,97679
May-1996,98303
Jun-1996,98691
Jul-1996,98108
Aug-1996,98567
Sep-1996,99791
Oct-1996,100228
Nov-1996,102015
Dec-1996,100201
Jan-1997,100684
Feb-1997,104294
Mar-1997,102696
Apr-1997,103947
May-1997,103879
Jun-1997,104642
Jul-1997,105646
Aug-1997,104419
Sep-1997,107063
Oct-1997,106249
Nov-1997,106820
Dec-1997,106054
Jan-1998,107917
Feb-1998,108189
Mar-1998,109199
Apr-1998,109526
May-1998,108776
Jun-1998,108935
Jul-1998,109180
Aug-1998,108889
Sep-1998,108625
Oct-1998,108833
Nov-1998,108704
Dec-1998,109529
Jan-1999,110533
Feb-1999,113328
Mar-1999,113663
Apr-1999,113669
May-1999,115864
Jun-1999,116794
Jul-1999,117878
Aug-1999,117990
Sep-1999,118823
Oct-1999,120996
Nov-1999,121739
Dec-1999,123413
Jan-2000,124516
Feb-2000,122647
Mar-2000,123111
Apr-2000,124472
May-2000,124136
Jun-2000,124271
Jul-2000,124224
Aug-2000,124666
Sep-2000,124691
Oct-2000,125120
Nov-2000,123858
Dec-2000,122701
Jan-2001,122399
Feb-2001,122103
Mar-2001,120979
Apr-2001,119745
May-2001,119976
Jun-2001,117387
Jul-2001,118352
Aug-2001,118721
Sep-2001,116879
Oct-2001,114882
Nov-2001,115937
Dec-2001,115280
Jan-2002,116191
Feb-2002,117505
Mar-2002,116287
Apr-2002,118186
May-2002,119119
Jun-2002,119943
Jul-2002,119464
