Period,Value
Q1-1956,"NA"
Q2-1956,"NA"
Q3-1956,"NA"
Q4-1956,"NA"
Q1-1957,"NA"
Q2-1957,"NA"
Q3-1957,"NA"
Q4-1957,"NA"
Q1-1958,"NA"
Q2-1958,"NA"
Q3-1958,"NA"
Q4-1958,"NA"
Q1-1959,"NA"
Q2-1959,"NA"
Q3-1959,"NA"
Q4-1959,"NA"
Q1-1960,"NA"
Q2-1960,"NA"
Q3-1960,"NA"
Q4-1960,"NA"
Q1-1961,"NA"
Q2-1961,"NA"
Q3-1961,"NA"
Q4-1961,"NA"
Q1-1962,"NA"
Q2-1962,"NA"
Q3-1962,"NA"
Q4-1962,"NA"
Q1-1963,"NA"
Q2-1963,"NA"
Q3-1963,"NA"
Q4-1963,"NA"
Q1-1964,"NA"
Q2-1964,"NA"
Q3-1964,"NA"
Q4-1964,"NA"
Q1-1965,62.9
Q2-1965,62.9
Q3-1965,62.9
Q4-1965,63.4
Q1-1966,63.5
Q2-1966,63.2
Q3-1966,63.3
Q4-1966,63.8
Q1-1967,63.3
Q2-1967,63.9
Q3-1967,63.8
Q4-1967,63.5
Q1-1968,63.6
Q2-1968,64.1
Q3-1968,64.1
Q4-1968,63.6
Q1-1969,64.1
Q2-1969,64.4
Q3-1969,64.4
Q4-1969,64.4
Q1-1970,64.3
Q2-1970,64
Q3-1970,64.4
Q4-1970,64
Q1-1971,64
Q2-1971,64.1
Q3-1971,64.4
Q4-1971,64.5
Q1-1972,64.3
Q2-1972,64.5
Q3-1972,64.3
Q4-1972,64.4
Q1-1973,64.9
Q2-1973,64.4
Q3-1973,64.4
Q4-1973,64.4
Q1-1974,64.8
Q2-1974,64.8
Q3-1974,64.6
Q4-1974,64.4
Q1-1975,64.4
Q2-1975,64.9
Q3-1975,64.6
Q4-1975,64.5
Q1-1976,64.6
Q2-1976,64.6
Q3-1976,64.9
Q4-1976,64.8
Q1-1977,64.8
Q2-1977,64.5
Q3-1977,65
Q4-1977,64.9
Q1-1978,64.8
Q2-1978,64.4
Q3-1978,65.2
Q4-1978,65.4
Q1-1979,64.8
Q2-1979,64.9
Q3-1979,65.8
Q4-1979,65.4
Q1-1980,65.5
Q2-1980,65.5
Q3-1980,65.8
Q4-1980,65.5
Q1-1981,65.6
Q2-1981,65.3
Q3-1981,65.6
Q4-1981,65.2
Q1-1982,64.8
Q2-1982,64.9
Q3-1982,64.9
Q4-1982,64.5
Q1-1983,64.7
Q2-1983,64.7
Q3-1983,64.8
Q4-1983,64.4
Q1-1984,64.6
Q2-1984,64.6
Q3-1984,64.6
Q4-1984,64.1
Q1-1985,64.1
Q2-1985,64.1
Q3-1985,63.9
Q4-1985,63.5
Q1-1986,63.6
Q2-1986,63.8
Q3-1986,63.8
Q4-1986,63.9
Q1-1987,63.8
Q2-1987,63.8
Q3-1987,64.2
Q4-1987,64.1
Q1-1988,63.7
Q2-1988,63.7
Q3-1988,64
Q4-1988,63.8
Q1-1989,63.9
Q2-1989,63.8
Q3-1989,64.1
Q4-1989,63.8
Q1-1990,64
Q2-1990,63.7
Q3-1990,64
Q4-1990,64.1
Q1-1991,63.9
Q2-1991,63.9
Q3-1991,64.2
Q4-1991,64.2
Q1-1992,64
Q2-1992,63.9
Q3-1992,64.3
Q4-1992,64.4
Q1-1993,64.2
Q2-1993,64.4
Q3-1993,64.7
Q4-1993,64.6
Q1-1994,63.8
Q2-1994,63.8
Q3-1994,64.1
Q4-1994,64.2
Q1-1995,64.2
Q2-1995,64.7
Q3-1995,65
Q4-1995,65.1
Q1-1996,65.1
Q2-1996,65.4
Q3-1996,65.6
Q4-1996,65.4
Q1-1997,65.4
Q2-1997,65.7
Q3-1997,66
Q4-1997,65.7
Q1-1998,65.9
Q2-1998,66
Q3-1998,66.8
Q4-1998,66.4
Q1-1999,66.7
Q2-1999,66.6
Q3-1999,67
Q4-1999,66.9
Q1-2000,67.1
Q2-2000,67.2
Q3-2000,67.7
Q4-2000,67.5
Q1-2001,67.5
Q2-2001,67.7
Q3-2001,68.1
Q4-2001,68
Q1-2002,67.8
Q2-2002,67.6
Q3-2002,68
Q4-2002,68.3
Q1-2003,68
Q2-2003,68
Q3-2003,68.4
Q4-2003,68.6
Q1-2004,68.6
Q2-2004,69.2
Q3-2004,69
Q4-2004,69.2
Q1-2005,69.1
Q2-2005,68.6
Q3-2005,68.8
Q4-2005,69
Q1-2006,68.5
Q2-2006,68.7
Q3-2006,69
Q4-2006,68.9
Q1-2007,68.4
Q2-2007,68.2
Q3-2007,68.2
Q4-2007,67.8
Q1-2008,67.8
Q2-2008,68.1
Q3-2008,67.9
Q4-2008,67.5
Q1-2009,67.3
Q2-2009,67.4
Q3-2009,67.6
Q4-2009,67.2
Q1-2010,67.1
Q2-2010,66.9
Q3-2010,66.9
Q4-2010,66.5
Q1-2011,66.4
Q2-2011,65.9
Q3-2011,66.3
Q4-2011,66
Q1-2012,65.4
Q2-2012,65.5
Q3-2012,65.5
Q4-2012,65.4
Q1-2013,65
Q2-2013,65
Q3-2013,65.3
Q4-2013,65.2
Q1-2014,64.8
Q2-2014,64.7
Q3-2014,64.4
Q4-2014,64
Q1-2015,63.7
Q2-2015,63.4
Q3-2015,"NA"
Q4-2015,"NA"
