Period,Value
Q1-1956,1
Q2-1956,1
Q3-1956,1.1
Q4-1956,0.9
Q1-1957,0.9
Q2-1957,1
Q3-1957,0.9
Q4-1957,1
Q1-1958,1.2
Q2-1958,1.2
Q3-1958,1.2
Q4-1958,1.2
Q1-1959,1.1
Q2-1959,1.3
Q3-1959,1.2
Q4-1959,1.1
Q1-1960,1.2
Q2-1960,1.3
Q3-1960,1.3
Q4-1960,1.3
Q1-1961,1.3
Q2-1961,1.5
Q3-1961,1.5
Q4-1961,1.3
Q1-1962,1.3
Q2-1962,1.4
Q3-1962,1.4
Q4-1962,1.5
Q1-1963,1.5
Q2-1963,1.5
Q3-1963,1.7
Q4-1963,1.5
Q1-1964,1.4
Q2-1964,1.5
Q3-1964,1.5
Q4-1964,1.5
Q1-1965,1.7
Q2-1965,1.5
Q3-1965,1.6
Q4-1965,1.5
Q1-1966,1.5
Q2-1966,1.5
Q3-1966,1.4
Q4-1966,1.3
Q1-1967,1.4
Q2-1967,1.3
Q3-1967,1.4
Q4-1967,1.3
Q1-1968,1.1
Q2-1968,1.1
Q3-1968,1.2
Q4-1968,1.2
Q1-1969,1
Q2-1969,1
Q3-1969,1.1
Q4-1969,1
Q1-1970,1
Q2-1970,1
Q3-1970,1.1
Q4-1970,1.1
Q1-1971,1
Q2-1971,0.9
Q3-1971,1
Q4-1971,1
Q1-1972,1
Q2-1972,1
Q3-1972,0.9
Q4-1972,1
Q1-1973,1
Q2-1973,0.9
Q3-1973,1.1
Q4-1973,1.2
Q1-1974,1.2
Q2-1974,1.1
Q3-1974,1.2
Q4-1974,1.3
Q1-1975,1.2
Q2-1975,1.2
Q3-1975,1.4
Q4-1975,1.2
Q1-1976,1.2
Q2-1976,1.2
Q3-1976,1.3
Q4-1976,1.2
Q1-1977,1.3
Q2-1977,1.3
Q3-1977,1.1
Q4-1977,1
Q1-1978,1
Q2-1978,0.9
Q3-1978,1
Q4-1978,1.1
Q1-1979,1.1
Q2-1979,1.1
Q3-1979,1.2
Q4-1979,1.3
Q1-1980,1.3
Q2-1980,1.4
Q3-1980,1.4
Q4-1980,1.4
Q1-1981,1.3
Q2-1981,1.3
Q3-1981,1.5
Q4-1981,1.4
Q1-1982,1.4
Q2-1982,1.6
Q3-1982,1.5
Q4-1982,1.6
Q1-1983,1.4
Q2-1983,1.5
Q3-1983,1.6
Q4-1983,1.6
Q1-1984,1.6
Q2-1984,1.7
Q3-1984,1.7
Q4-1984,1.7
Q1-1985,1.8
Q2-1985,1.9
Q3-1985,1.8
Q4-1985,1.6
Q1-1986,1.5
Q2-1986,1.7
Q3-1986,1.6
Q4-1986,1.6
Q1-1987,1.7
Q2-1987,1.7
Q3-1987,1.7
Q4-1987,1.6
Q1-1988,1.6
Q2-1988,1.6
Q3-1988,1.6
Q4-1988,1.6
Q1-1989,1.7
Q2-1989,1.7
Q3-1989,1.9
Q4-1989,1.8
Q1-1990,1.7
Q2-1990,1.7
Q3-1990,1.7
Q4-1990,1.7
Q1-1991,1.7
Q2-1991,1.8
Q3-1991,1.8
Q4-1991,1.6
Q1-1992,1.5
Q2-1992,1.6
Q3-1992,1.6
Q4-1992,1.5
Q1-1993,1.4
Q2-1993,1.4
Q3-1993,1.4
Q4-1993,1.4
Q1-1994,1.4
Q2-1994,1.4
Q3-1994,1.4
Q4-1994,1.6
Q1-1995,1.5
Q2-1995,1.6
Q3-1995,1.5
Q4-1995,1.6
Q1-1996,1.6
Q2-1996,1.5
Q3-1996,1.7
Q4-1996,1.7
Q1-1997,1.7
Q2-1997,1.6
Q3-1997,1.5
Q4-1997,1.7
Q1-1998,1.7
Q2-1998,1.7
Q3-1998,1.7
Q4-1998,1.8
Q1-1999,1.8
Q2-1999,1.6
Q3-1999,1.6
Q4-1999,1.6
Q1-2000,1.6
Q2-2000,1.5
Q3-2000,1.6
Q4-2000,1.6
Q1-2001,1.5
Q2-2001,1.8
Q3-2001,1.9
Q4-2001,1.8
Q1-2002,1.7
Q2-2002,1.7
Q3-2002,1.7
Q4-2002,1.7
Q1-2003,1.7
Q2-2003,1.7
Q3-2003,1.9
Q4-2003,1.8
Q1-2004,1.7
Q2-2004,1.7
Q3-2004,1.7
Q4-2004,1.8
Q1-2005,1.8
Q2-2005,1.8
Q3-2005,1.9
Q4-2005,2
Q1-2006,2.1
Q2-2006,2.2
Q3-2006,2.5
Q4-2006,2.7
Q1-2007,2.8
Q2-2007,2.6
Q3-2007,2.7
Q4-2007,2.8
Q1-2008,2.9
Q2-2008,2.8
Q3-2008,2.8
Q4-2008,2.9
Q1-2009,2.7
Q2-2009,2.5
Q3-2009,2.6
Q4-2009,2.7
Q1-2010,2.6
Q2-2010,2.5
Q3-2010,2.5
Q4-2010,2.7
Q1-2011,2.6
Q2-2011,2.5
Q3-2011,2.4
Q4-2011,2.3
Q1-2012,2.2
Q2-2012,2.1
Q3-2012,1.9
Q4-2012,1.9
Q1-2013,2.1
Q2-2013,1.9
Q3-2013,1.9
Q4-2013,2.1
Q1-2014,2
Q2-2014,1.9
Q3-2014,1.8
Q4-2014,1.9
Q1-2015,1.9
Q2-2015,1.8
Q3-2015,"NA"
Q4-2015,"NA"
