Period,Value
Jan-1959,1657
Feb-1959,1667
Mar-1959,1620
Apr-1959,1590
May-1959,1498
Jun-1959,1503
Jul-1959,1547
Aug-1959,1430
Sep-1959,1540
Oct-1959,1355
Nov-1959,1416
Dec-1959,1601
Jan-1960,1460
Feb-1960,1503
Mar-1960,1109
Apr-1960,1289
May-1960,1271
Jun-1960,1247
Jul-1960,1197
Aug-1960,1344
Sep-1960,1097
Oct-1960,1246
Nov-1960,1246
Dec-1960,1063
Jan-1961,1183
Feb-1961,1226
Mar-1961,1312
Apr-1961,1166
May-1961,1228
Jun-1961,1382
Jul-1961,1335
Aug-1961,1312
Sep-1961,1429
Oct-1961,1415
Nov-1961,1385
Dec-1961,1365
Jan-1962,1361
Feb-1962,1278
Mar-1962,1443
Apr-1962,1524
May-1962,1483
Jun-1962,1404
Jul-1962,1450
Aug-1962,1517
Sep-1962,1324
Oct-1962,1533
Nov-1962,1622
Dec-1962,1564
Jan-1963,1244
Feb-1963,1456
Mar-1963,1534
Apr-1963,1689
May-1963,1641
Jun-1963,1588
Jul-1963,1614
Aug-1963,1639
Sep-1963,1763
Oct-1963,1779
Nov-1963,1622
Dec-1963,1491
Jan-1964,1603
Feb-1964,1820
Mar-1964,1517
Apr-1964,1448
May-1964,1467
Jun-1964,1550
Jul-1964,1562
Aug-1964,1569
Sep-1964,1455
Oct-1964,1524
Nov-1964,1486
Dec-1964,1484
Jan-1965,1361
Feb-1965,1433
Mar-1965,1423
Apr-1965,1438
May-1965,1478
Jun-1965,1488
Jul-1965,1529
Aug-1965,1432
Sep-1965,1482
Oct-1965,1452
Nov-1965,1460
Dec-1965,1656
Jan-1966,1370
Feb-1966,1378
Mar-1966,1394
Apr-1966,1352
May-1966,1265
Jun-1966,1194
Jul-1966,1086
Aug-1966,1119
Sep-1966,1046
Oct-1966,843
Nov-1966,961
Dec-1966,990
Jan-1967,1067
Feb-1967,1123
Mar-1967,1056
Apr-1967,1091
May-1967,1304
Jun-1967,1248
Jul-1967,1364
Aug-1967,1407
Sep-1967,1421
Oct-1967,1491
Nov-1967,1538
Dec-1967,1308
Jan-1968,1380
Feb-1968,1520
Mar-1968,1466
Apr-1968,1554
May-1968,1408
Jun-1968,1405
