Period,Value
Jan-1992,377883
Feb-1992,376757
Mar-1992,377688
Apr-1992,377491
May-1992,377450
Jun-1992,377055
Jul-1992,377301
Aug-1992,379317
Sep-1992,379343
Oct-1992,379138
Nov-1992,377990
Dec-1992,378609
Jan-1993,376454
Feb-1993,376070
Mar-1993,377886
Apr-1993,378720
May-1993,378707
Jun-1993,379336
Jul-1993,378300
Aug-1993,378664
Sep-1993,379925
Oct-1993,379690
Nov-1993,379820
Dec-1993,379806
Jan-1994,380801
Feb-1994,381749
Mar-1994,382683
Apr-1994,383704
May-1994,385942
Jun-1994,387435
Jul-1994,391062
Aug-1994,392407
Sep-1994,392820
Oct-1994,394981
Nov-1994,397511
Dec-1994,399934
Jan-1995,403311
Feb-1995,406325
Mar-1995,409908
Apr-1995,412519
May-1995,416185
Jun-1995,417940
Jul-1995,419612
Aug-1995,420051
Sep-1995,422786
Oct-1995,423789
Nov-1995,423419
Dec-1995,424802
Jan-1996,427759
Feb-1996,427813
Mar-1996,428326
Apr-1996,427475
May-1996,426778
Jun-1996,426637
Jul-1996,426960
Aug-1996,427462
Sep-1996,429060
Oct-1996,429727
Nov-1996,430595
Dec-1996,430366
Jan-1997,431467
Feb-1997,431962
Mar-1997,431867
Apr-1997,433984
May-1997,435288
Jun-1997,435842
Jul-1997,436674
Aug-1997,438450
Sep-1997,439518
Oct-1997,442036
Nov-1997,441817
Dec-1997,443247
Jan-1998,445108
Feb-1998,447546
Mar-1998,448543
Apr-1998,449644
May-1998,450312
Jun-1998,451219
Jul-1998,451306
Aug-1998,451101
Sep-1998,450892
Oct-1998,451909
Nov-1998,452026
Dec-1998,448398
Jan-1999,446646
Feb-1999,446948
Mar-1999,448826
Apr-1999,448449
May-1999,450136
Jun-1999,449736
Jul-1999,451706
Aug-1999,452041
Sep-1999,454810
Oct-1999,455914
Nov-1999,459777
Dec-1999,463057
Jan-2000,463507
Feb-2000,466536
Mar-2000,467232
Apr-2000,469861
May-2000,470236
Jun-2000,474247
Jul-2000,475723
Aug-2000,477507
Sep-2000,477882
Oct-2000,479744
Nov-2000,482220
Dec-2000,480823
Jan-2001,483135
Feb-2001,478278
Mar-2001,473209
Apr-2001,470312
May-2001,465873
Jun-2001,460444
Jul-2001,454259
Aug-2001,449939
Sep-2001,444854
Oct-2001,439857
Nov-2001,433917
Dec-2001,427388
Jan-2002,425033
Feb-2002,420487
Mar-2002,417890
Apr-2002,417426
May-2002,416382
Jun-2002,417096
Jul-2002,417137
Aug-2002,418159
Sep-2002,419999
Oct-2002,419960
Nov-2002,419888
Dec-2002,422679
Jan-2003,421393
Feb-2003,425201
Mar-2003,422810
Apr-2003,421938
May-2003,420524
Jun-2003,417535
Jul-2003,414122
Aug-2003,412581
Sep-2003,410411
Oct-2003,410175
Nov-2003,408654
Dec-2003,408190
Jan-2004,407974
Feb-2004,410899
Mar-2004,413161
Apr-2004,415022
May-2004,418547
Jun-2004,422729
Jul-2004,426161
Aug-2004,429302
Sep-2004,430628
Oct-2004,434510
Nov-2004,439971
Dec-2004,440738
Jan-2005,446645
Feb-2005,451740
Mar-2005,455587
Apr-2005,457313
May-2005,457367
Jun-2005,458723
Jul-2005,462216
Aug-2005,461977
Sep-2005,463328
Oct-2005,467334
Nov-2005,469675
Dec-2005,473666
Jan-2006,479593
Feb-2006,481371
Mar-2006,486319
Apr-2006,491700
May-2006,496749
Jun-2006,502297
Jul-2006,507280
Aug-2006,511359
Sep-2006,516368
Oct-2006,519347
Nov-2006,521610
Dec-2006,522437
Jan-2007,524735
Feb-2007,527446
Mar-2007,529539
Apr-2007,533833
May-2007,538237
Jun-2007,541565
Jul-2007,541945
Aug-2007,543160
Sep-2007,548687
Oct-2007,551654
Nov-2007,556170
Dec-2007,561114
Jan-2008,568333
Feb-2008,570350
Mar-2008,573460
Apr-2008,573503
May-2008,574301
Jun-2008,581491
Jul-2008,581941
Aug-2008,583327
Sep-2008,577082
Oct-2008,568963
Nov-2008,559206
Dec-2008,541421
Jan-2009,536412
Feb-2009,528469
Mar-2009,522040
Apr-2009,516170
May-2009,512356
Jun-2009,507071
Jul-2009,503486
Aug-2009,500139
Sep-2009,496810
Oct-2009,500014
Nov-2009,502365
Dec-2009,502119
Jan-2010,503415
Feb-2010,508057
Mar-2010,510973
Apr-2010,514456
May-2010,514062
Jun-2010,518471
Jul-2010,521515
Aug-2010,524056
Sep-2010,529814
Oct-2010,536213
Nov-2010,542345
Dec-2010,550333
Jan-2011,557003
Feb-2011,563016
Mar-2011,570631
Apr-2011,581684
May-2011,587555
Jun-2011,590416
Jul-2011,593290
Aug-2011,595437
Sep-2011,593685
Oct-2011,599936
Nov-2011,602615
Dec-2011,603342
Jan-2012,606769
Feb-2012,609108
Mar-2012,611139
Apr-2012,612500
May-2012,612684
Jun-2012,613366
Jul-2012,615201
Aug-2012,618844
Sep-2012,622703
Oct-2012,623514
Nov-2012,624058
Dec-2012,626018
Jan-2013,628764
Feb-2013,629626
Mar-2013,630705
Apr-2013,631822
May-2013,629795
Jun-2013,629505
Jul-2013,631435
Aug-2013,632951
Sep-2013,634318
Oct-2013,635017
Nov-2013,634622
Dec-2013,637877
Jan-2014,639912
Feb-2014,644348
Mar-2014,646376
Apr-2014,648424
May-2014,653504
Jun-2014,654262
Jul-2014,653974
Aug-2014,654356
Sep-2014,655456
Oct-2014,655571
Nov-2014,656070
Dec-2014,652927
Jan-2015,648226
Feb-2015,649072
Mar-2015,648373
Apr-2015,649569
May-2015,649972
Jun-2015,653560
Jul-2015,"NA"
Aug-2015,"NA"
Sep-2015,"NA"
Oct-2015,"NA"
Nov-2015,"NA"
Dec-2015,"NA"
