Period,Value
Jan-1992,"NA"
Feb-1992,223500
Mar-1992,233732
Apr-1992,238173
May-1992,241916
Jun-1992,240660
Jul-1992,238609
Aug-1992,235633
Sep-1992,239052
Oct-1992,242803
Nov-1992,240286
Dec-1992,244173
Jan-1993,239924
Feb-1993,247176
Mar-1993,245506
Apr-1993,244703
May-1993,245194
Jun-1993,249521
Jul-1993,245765
Aug-1993,246562
Sep-1993,245731
Oct-1993,251656
Nov-1993,247827
Dec-1993,250057
Jan-1994,257125
Feb-1994,256624
Mar-1994,257190
Apr-1994,260006
May-1994,263419
Jun-1994,267027
Jul-1994,267694
Aug-1994,269994
Sep-1994,270377
Oct-1994,275087
Nov-1994,276477
Dec-1994,282738
Jan-1995,279692
Feb-1995,284915
Mar-1995,282195
Apr-1995,283370
May-1995,282955
Jun-1995,281900
Jul-1995,281269
Aug-1995,285979
Sep-1995,293326
Oct-1995,287568
Nov-1995,287704
Dec-1995,297684
Jan-1996,285822
Feb-1996,277940
Mar-1996,298862
Apr-1996,290320
May-1996,298700
Jun-1996,299606
Jul-1996,298909
Aug-1996,293231
Sep-1996,302015
Oct-1996,301595
Nov-1996,309537
Dec-1996,300179
Jan-1997,300708
Feb-1997,310616
Mar-1997,307560
Apr-1997,313659
May-1997,308902
Jun-1997,314913
Jul-1997,318548
Aug-1997,319100
Sep-1997,318792
Oct-1997,319475
Nov-1997,334832
Dec-1997,315107
Jan-1998,315925
Feb-1998,322620
Mar-1998,317570
Apr-1998,320284
May-1998,320871
Jun-1998,311207
Jul-1998,308887
Aug-1998,318089
Sep-1998,319569
Oct-1998,315896
Nov-1998,319228
Dec-1998,315327
Jan-1999,324318
Feb-1999,324460
Mar-1999,322874
Apr-1999,321293
May-1999,325666
Jun-1999,323790
Jul-1999,330828
Aug-1999,332490
Sep-1999,333403
Oct-1999,341302
Nov-1999,334261
Dec-1999,343955
Jan-2000,350814
Feb-2000,331902
Mar-2000,344490
Apr-2000,347800
May-2000,340380
Jun-2000,374592
Jul-2000,343570
Aug-2000,340833
Sep-2000,354506
Oct-2000,339541
Nov-2000,343398
Dec-2000,343494
Jan-2001,331767
Feb-2001,335045
Mar-2001,333726
Apr-2001,321634
May-2001,329813
Jun-2001,324052
Jul-2001,318634
Aug-2001,321855
Sep-2001,311815
Oct-2001,318580
Nov-2001,309749
Dec-2001,311439
Jan-2002,308032
Feb-2002,316048
Mar-2002,315727
Apr-2002,318119
May-2002,321797
Jun-2002,315792
Jul-2002,322211
Aug-2002,327696
Sep-2002,320805
Oct-2002,319368
Nov-2002,323070
Dec-2002,316144
Jan-2003,323081
Feb-2003,328991
Mar-2003,331414
Apr-2003,321000
May-2003,323594
Jun-2003,329235
Jul-2003,330290
Aug-2003,331600
Sep-2003,335852
Oct-2003,341966
Nov-2003,339726
Dec-2003,339913
Jan-2004,337299
Feb-2004,339063
Mar-2004,355377
Apr-2004,349074
May-2004,350713
Jun-2004,354472
Jul-2004,358158
Aug-2004,357535
Sep-2004,360845
Oct-2004,364522
Nov-2004,373879
Dec-2004,372331
Jan-2005,376911
Feb-2005,380600
Mar-2005,375397
Apr-2005,385283
May-2005,395194
Jun-2005,399922
Jul-2005,390139
Aug-2005,402647
Sep-2005,404303
Oct-2005,408553
Nov-2005,422993
Dec-2005,421185
Jan-2006,413360
Feb-2006,419019
Mar-2006,431195
Apr-2006,417975
May-2006,423422
Jun-2006,428113
Jul-2006,420804
Aug-2006,420482
Sep-2006,436685
Oct-2006,414561
Nov-2006,427292
Dec-2006,436935
Jan-2007,422393
Feb-2007,430439
Mar-2007,441434
Apr-2007,447166
May-2007,444702
Jun-2007,448173
Jul-2007,457910
Aug-2007,452371
Sep-2007,447430
Oct-2007,455318
Nov-2007,470202
Dec-2007,478945
Jan-2008,474732
Feb-2008,469553
Mar-2008,469477
Apr-2008,477036
May-2008,481390
Jun-2008,487252
Jul-2008,483922
Aug-2008,469717
Sep-2008,446314
Oct-2008,415892
Nov-2008,387245
Dec-2008,362996
Jan-2009,343325
Feb-2009,338037
Mar-2009,330941
Apr-2009,330158
May-2009,340116
Jun-2009,343963
Jul-2009,351256
Aug-2009,357265
Sep-2009,356894
Oct-2009,365521
Nov-2009,369340
Dec-2009,367836
Jan-2010,392312
Feb-2010,388555
Mar-2010,397130
Apr-2010,404561
May-2010,400326
Jun-2010,400062
Jul-2010,404602
Aug-2010,408520
Sep-2010,418250
Oct-2010,415895
Nov-2010,423487
Dec-2010,426704
Jan-2011,443169
Feb-2011,433249
Mar-2011,458253
Apr-2011,451744
May-2011,455835
Jun-2011,450696
Jul-2011,460422
Aug-2011,466005
Sep-2011,458583
Oct-2011,458264
Nov-2011,470289
Dec-2011,479396
Jan-2012,480042
Feb-2012,481363
Mar-2012,481143
Apr-2012,477415
May-2012,473266
Jun-2012,468270
Jul-2012,479285
Aug-2012,460119
Sep-2012,476243
Oct-2012,481712
Nov-2012,480070
Dec-2012,488940
Jan-2013,482501
Feb-2013,498494
Mar-2013,470914
Apr-2013,478528
May-2013,490414
Jun-2013,497601
