Period,Value
Jan-1992,227721
Feb-1992,228860
Mar-1992,238604
Apr-1992,239877
May-1992,243732
Jun-1992,245693
Jul-1992,245608
Aug-1992,242874
Sep-1992,244894
Oct-1992,243190
Nov-1992,246901
Dec-1992,248199
Jan-1993,247812
Feb-1993,249517
Mar-1993,250346
Apr-1993,248681
May-1993,251798
Jun-1993,253388
Jul-1993,248759
Aug-1993,249283
Sep-1993,252679
Oct-1993,256449
Nov-1993,255017
Dec-1993,256087
Jan-1994,259834
Feb-1994,261152
Mar-1994,261862
Apr-1994,263499
May-1994,266632
Jun-1994,268116
Jul-1994,271246
Aug-1994,273778
Sep-1994,272898
Oct-1994,276184
Nov-1994,279548
Dec-1994,286731
Jan-1995,286480
Feb-1995,288455
Mar-1995,284903
Apr-1995,289640
May-1995,285641
Jun-1995,288557
Jul-1995,287862
Aug-1995,289737
Sep-1995,295286
Oct-1995,292655
Nov-1995,291561
Dec-1995,300609
Jan-1996,286897
Feb-1996,282115
Mar-1996,294562
Apr-1996,295365
May-1996,299775
Jun-1996,303281
Jul-1996,300234
Aug-1996,301541
Sep-1996,305155
Oct-1996,301294
Nov-1996,308575
Dec-1996,307211
Jan-1997,307228
Feb-1997,314480
Mar-1997,315476
Apr-1997,318096
May-1997,315337
Jun-1997,320048
Jul-1997,322813
Aug-1997,323115
Sep-1997,323047
Oct-1997,322299
Nov-1997,328800
Dec-1997,325421
Jan-1998,321330
Feb-1998,329536
Mar-1998,328478
Apr-1998,324044
May-1998,326341
Jun-1998,318928
Jul-1998,316503
Aug-1998,323540
Sep-1998,325614
Oct-1998,327271
Nov-1998,328163
Dec-1998,327692
Jan-1999,329900
Feb-1999,332266
Mar-1999,328408
Apr-1999,330592
May-1999,334927
Jun-1999,333581
Jul-1999,334638
Aug-1999,339839
Sep-1999,338065
Oct-1999,343964
Nov-1999,342809
Dec-1999,344286
Jan-2000,352604
Feb-2000,339991
Mar-2000,349583
Apr-2000,355354
May-2000,349389
Jun-2000,354640
Jul-2000,351578
Aug-2000,346461
Sep-2000,356088
Oct-2000,348675
Nov-2000,346616
Dec-2000,351579
Jan-2001,342372
Feb-2001,346275
Mar-2001,340154
Apr-2001,330547
May-2001,337966
Jun-2001,331322
Jul-2001,327880
Aug-2001,330574
Sep-2001,321887
Oct-2001,319989
Nov-2001,319841
Dec-2001,322265
Jan-2002,319867
Feb-2002,319869
Mar-2002,321808
Apr-2002,326313
May-2002,328848
Jun-2002,328262
Jul-2002,325658
Aug-2002,329613
Sep-2002,331080
Oct-2002,329503
Nov-2002,331267
Dec-2002,324495
Jan-2003,329789
Feb-2003,333006
Mar-2003,335933
Apr-2003,325366
May-2003,328198
Jun-2003,332451
Jul-2003,336304
Aug-2003,333544
Sep-2003,339764
Oct-2003,340887
Nov-2003,340745
Dec-2003,340375
Jan-2004,339919
Feb-2004,340669
Mar-2004,352814
Apr-2004,350661
May-2004,352779
Jun-2004,356080
Jul-2004,356157
Aug-2004,361804
Sep-2004,363243
Oct-2004,370492
Nov-2004,372744
Dec-2004,375866
Jan-2005,382415
Feb-2005,383014
Mar-2005,383285
Apr-2005,391647
May-2005,388208
Jun-2005,390561
Jul-2005,390294
Aug-2005,398876
Sep-2005,404835
Oct-2005,405983
Nov-2005,408519
Dec-2005,414279
Jan-2006,415938
Feb-2006,415117
Mar-2006,418141
Apr-2006,412339
May-2006,422709
Jun-2006,422317
Jul-2006,416681
Aug-2006,424672
Sep-2006,413540
Oct-2006,410244
Nov-2006,415922
Dec-2006,429101
Jan-2007,418937
Feb-2007,428270
Mar-2007,434509
Apr-2007,436811
May-2007,443360
Jun-2007,443390
Jul-2007,445069
Aug-2007,446709
Sep-2007,446562
Oct-2007,451069
Nov-2007,464060
Dec-2007,461374
Jan-2008,467163
Feb-2008,463917
Mar-2008,461246
Apr-2008,474968
May-2008,476532
Jun-2008,483678
Jul-2008,485067
Aug-2008,471379
Sep-2008,452307
Oct-2008,430122
Nov-2008,400203
Dec-2008,379728
Jan-2009,366774
Feb-2009,368798
Mar-2009,358738
Apr-2009,353159
May-2009,354096
Jun-2009,361763
Jul-2009,362851
Aug-2009,368668
Sep-2009,374178
Oct-2009,377861
Nov-2009,385610
Dec-2009,390084
Jan-2010,395889
Feb-2010,393368
Mar-2010,400350
Apr-2010,405775
May-2010,403241
Jun-2010,402284
Jul-2010,408831
Aug-2010,411253
Sep-2010,414952
Oct-2010,417850
Nov-2010,422506
Dec-2010,432173
Jan-2011,440266
Feb-2011,440776
Mar-2011,455753
Apr-2011,454902
May-2011,454680
Jun-2011,457026
Jul-2011,461377
Aug-2011,461989
Sep-2011,460790
Oct-2011,463636
Nov-2011,465744
Dec-2011,469435
Jan-2012,474246
Feb-2012,475111
Mar-2012,478700
Apr-2012,477551
May-2012,478674
Jun-2012,469609
Jul-2012,472767
Aug-2012,474677
Sep-2012,479904
Oct-2012,480438
Nov-2012,483430
Dec-2012,483022
Jan-2013,485608
Feb-2013,492914
Mar-2013,483795
Apr-2013,480764
May-2013,486592
Jun-2013,482800
Jul-2013,484701
Aug-2013,487067
Sep-2013,487089
Oct-2013,488134
Nov-2013,496967
Dec-2013,492860
Jan-2014,492616
Feb-2014,499189
Mar-2014,499366
Apr-2014,500664
May-2014,500678
Jun-2014,503219
Jul-2014,508669
Aug-2014,505055
Sep-2014,503455
Oct-2014,498442
Nov-2014,494635
Dec-2014,490184
Jan-2015,479363
Feb-2015,479810
Mar-2015,482432
Apr-2015,482323
May-2015,481347
Jun-2015,483530
Jul-2015,"NA"
Aug-2015,"NA"
Sep-2015,"NA"
Oct-2015,"NA"
Nov-2015,"NA"
Dec-2015,"NA"
