Period,Value
Jan-1963,591
Feb-1963,464
Mar-1963,461
Apr-1963,605
May-1963,586
Jun-1963,526
Jul-1963,665
Aug-1963,570
Sep-1963,590
Oct-1963,567
Nov-1963,579
Dec-1963,514
Jan-1964,549
Feb-1964,609
Mar-1964,562
Apr-1964,559
May-1964,523
Jun-1964,580
Jul-1964,575
Aug-1964,582
Sep-1964,590
Oct-1964,583
Nov-1964,548
Dec-1964,540
Jan-1965,533
Feb-1965,559
Mar-1965,556
Apr-1965,555
May-1965,544
Jun-1965,614
Jul-1965,554
Aug-1965,615
Sep-1965,587
Oct-1965,555
Nov-1965,616
Dec-1965,609
Jan-1966,599
Feb-1966,541
Mar-1966,557
Apr-1966,545
May-1966,499
Jun-1966,434
Jul-1966,435
Aug-1966,377
Sep-1966,358
Oct-1966,387
Nov-1966,382
Dec-1966,369
Jan-1967,416
Feb-1967,408
Mar-1967,439
Apr-1967,479
May-1967,503
Jun-1967,499
Jul-1967,515
Aug-1967,504
Sep-1967,531
Oct-1967,566
Nov-1967,500
Dec-1967,502
Jan-1968,494
Feb-1968,543
Mar-1968,490
Apr-1968,501
May-1968,441
Jun-1968,441
Jul-1968,493
Aug-1968,507
Sep-1968,501
Oct-1968,502
Nov-1968,469
Dec-1968,511
Jan-1969,480
Feb-1969,524
Mar-1969,474
Apr-1969,450
May-1969,447
Jun-1969,461
Jul-1969,436
Aug-1969,422
Sep-1969,396
Oct-1969,401
Nov-1969,441
Dec-1969,452
Jan-1970,461
Feb-1970,373
Mar-1970,389
Apr-1970,445
May-1970,466
Jun-1970,485
Jul-1970,481
Aug-1970,515
Sep-1970,564
Oct-1970,545
Nov-1970,570
Dec-1970,582
Jan-1971,618
Feb-1971,618
Mar-1971,681
Apr-1971,662
May-1971,618
Jun-1971,646
Jul-1971,706
Aug-1971,659
Sep-1971,625
Oct-1971,647
Nov-1971,710
Dec-1971,689
Jan-1972,698
Feb-1972,711
Mar-1972,640
Apr-1972,684
May-1972,677
Jun-1972,687
Jul-1972,681
Aug-1972,773
Sep-1972,767
Oct-1972,843
Nov-1972,735
Dec-1972,772
Jan-1973,781
Feb-1973,737
Mar-1973,725
Apr-1973,661
May-1973,660
Jun-1973,650
Jul-1973,601
Aug-1973,566
Sep-1973,561
Oct-1973,565
Nov-1973,547
Dec-1973,519
Jan-1974,523
Feb-1974,539
Mar-1974,572
Apr-1974,544
May-1974,590
Jun-1974,534
Jul-1974,534
Aug-1974,492
Sep-1974,511
Oct-1974,448
Nov-1974,450
Dec-1974,417
Jan-1975,416
Feb-1975,422
Mar-1975,477
Apr-1975,543
May-1975,579
Jun-1975,557
Jul-1975,569
Aug-1975,566
Sep-1975,556
Oct-1975,609
Nov-1975,680
Dec-1975,669
Jan-1976,603
Feb-1976,644
Mar-1976,591
Apr-1976,611
May-1976,570
Jun-1976,591
Jul-1976,664
Aug-1976,648
Sep-1976,696
Oct-1976,708
Nov-1976,735
Dec-1976,767
Jan-1977,825
Feb-1977,839
Mar-1977,872
Apr-1977,799
May-1977,807
Jun-1977,805
Jul-1977,755
Aug-1977,808
Sep-1977,842
Oct-1977,819
Nov-1977,829
Dec-1977,835
Jan-1978,795
Feb-1978,791
Mar-1978,814
Apr-1978,864
May-1978,857
Jun-1978,834
Jul-1978,789
Aug-1978,756
Sep-1978,812
Oct-1978,872
Nov-1978,798
Dec-1978,805
Jan-1979,754
Feb-1979,723
Mar-1979,793
Apr-1979,748
May-1979,727
Jun-1979,700
Jul-1979,715
Aug-1979,729
Sep-1979,727
Oct-1979,670
Nov-1979,597
Dec-1979,559
Jan-1980,592
Feb-1980,541
Mar-1980,474
Apr-1980,370
May-1980,469
Jun-1980,552
Jul-1980,636
Aug-1980,659
Sep-1980,596
Oct-1980,561
Nov-1980,562
Dec-1980,532
Jan-1981,511
Feb-1981,510
Mar-1981,514
Apr-1981,470
May-1981,467
Jun-1981,415
Jul-1981,431
Aug-1981,378
Sep-1981,338
Oct-1981,356
Nov-1981,382
Dec-1981,457
Jan-1982,368
Feb-1982,365
Mar-1982,374
Apr-1982,339
May-1982,384
Jun-1982,370
Jul-1982,375
Aug-1982,407
Sep-1982,481
Oct-1982,480
Nov-1982,554
Dec-1982,521
Jan-1983,582
Feb-1983,562
Mar-1983,596
Apr-1983,638
May-1983,664
Jun-1983,651
Jul-1983,606
Aug-1983,572
Sep-1983,608
Oct-1983,632
Nov-1983,644
Dec-1983,773
Jan-1984,691
Feb-1984,696
Mar-1984,641
Apr-1984,639
May-1984,615
Jun-1984,630
Jul-1984,619
Aug-1984,567
Sep-1984,662
Oct-1984,687
Nov-1984,597
Dec-1984,597
Jan-1985,645
Feb-1985,682
Mar-1985,671
Apr-1985,620
May-1985,678
Jun-1985,722
Jul-1985,766
Aug-1985,726
Sep-1985,678
Oct-1985,655
Nov-1985,733
Dec-1985,721
Jan-1986,733
Feb-1986,728
Mar-1986,880
Apr-1986,857
May-1986,789
Jun-1986,728
Jul-1986,698
Aug-1986,621
Sep-1986,763
Oct-1986,669
Nov-1986,707
Dec-1986,784
Jan-1987,709
Feb-1987,732
Mar-1987,713
Apr-1987,735
May-1987,651
Jun-1987,637
Jul-1987,658
Aug-1987,657
Sep-1987,666
Oct-1987,650
Nov-1987,625
Dec-1987,595
Jan-1988,585
Feb-1988,663
Mar-1988,669
Apr-1988,699
May-1988,684
Jun-1988,717
Jul-1988,679
Aug-1988,688
Sep-1988,703
Oct-1988,718
Nov-1988,628
Dec-1988,658
Jan-1989,719
Feb-1989,622
Mar-1989,567
Apr-1989,608
May-1989,656
Jun-1989,642
Jul-1989,731
Aug-1989,697
Sep-1989,639
Oct-1989,645
Nov-1989,684
Dec-1989,630
Jan-1990,620
Feb-1990,591
Mar-1990,574
Apr-1990,542
May-1990,534
Jun-1990,545
Jul-1990,542
Aug-1990,528
Sep-1990,496
Oct-1990,465
Nov-1990,493
Dec-1990,464
Jan-1991,401
Feb-1991,482
Mar-1991,507
