Period,Value
Jan-1992,70605
Feb-1992,71198
Mar-1992,72083
Apr-1992,71586
May-1992,70986
Jun-1992,72546
Jul-1992,72519
Aug-1992,72030
Sep-1992,72092
Oct-1992,72383
Nov-1992,72932
Dec-1992,73479
Jan-1993,74239
Feb-1993,73808
Mar-1993,74058
Apr-1993,74589
May-1993,74725
Jun-1993,74946
Jul-1993,74635
Aug-1993,75429
Sep-1993,76018
Oct-1993,74988
Nov-1993,75677
Dec-1993,75991
Jan-1994,75815
Feb-1994,76477
Mar-1994,76406
Apr-1994,75937
May-1994,76688
Jun-1994,76358
Jul-1994,76314
Aug-1994,77305
Sep-1994,78020
Oct-1994,78640
Nov-1994,79433
Dec-1994,80003
Jan-1995,81054
Feb-1995,81093
Mar-1995,82032
Apr-1995,83297
May-1995,83281
Jun-1995,83854
Jul-1995,85195
Aug-1995,85385
Sep-1995,85843
Oct-1995,85323
Nov-1995,84561
Dec-1995,84303
Jan-1996,84888
Feb-1996,85001
Mar-1996,85079
Apr-1996,87191
May-1996,87570
Jun-1996,87164
Jul-1996,86627
Aug-1996,85877
Sep-1996,83877
Oct-1996,84690
Nov-1996,84332
Dec-1996,84375
Jan-1997,85870
Feb-1997,85789
Mar-1997,85690
Apr-1997,85309
May-1997,85453
Jun-1997,86196
Jul-1997,86663
Aug-1997,87317
Sep-1997,87655
Oct-1997,88814
Nov-1997,90229
Dec-1997,90365
Jan-1998,90122
Feb-1998,90736
Mar-1998,90803
Apr-1998,90444
May-1998,91485
Jun-1998,91680
Jul-1998,91851
Aug-1998,92093
Sep-1998,92709
Oct-1998,92396
Nov-1998,93850
Dec-1998,93379
Jan-1999,93457
Feb-1999,94675
Mar-1999,94984
Apr-1999,96137
May-1999,95357
Jun-1999,94682
Jul-1999,96191
Aug-1999,96861
Sep-1999,96986
Oct-1999,98198
Nov-1999,99095
Dec-1999,99283
Jan-2000,100832
Feb-2000,101347
Mar-2000,102305
Apr-2000,103064
May-2000,103245
Jun-2000,103178
Jul-2000,103662
Aug-2000,103792
Sep-2000,104499
Oct-2000,105919
Nov-2000,107046
Dec-2000,107394
Jan-2001,106555
Feb-2001,107620
Mar-2001,108326
Apr-2001,110121
May-2001,111883
Jun-2001,112843
Jul-2001,111519
Aug-2001,112281
Sep-2001,112770
Oct-2001,111570
Nov-2001,111896
Dec-2001,112019
Jan-2002,112335
Feb-2002,111921
Mar-2002,112397
Apr-2002,111838
May-2002,112270
Jun-2002,113052
Jul-2002,113985
Aug-2002,113646
Sep-2002,114460
Oct-2002,114696
Nov-2002,114348
Dec-2002,116233
Jan-2003,116596
Feb-2003,116070
Mar-2003,116239
Apr-2003,116248
May-2003,115709
Jun-2003,115432
Jul-2003,116487
Aug-2003,116494
Sep-2003,117119
Oct-2003,119230
Nov-2003,119770
Dec-2003,118933
Jan-2004,118447
Feb-2004,119548
Mar-2004,119206
Apr-2004,118466
