Period,Value
Jan-1992,75119
Feb-1992,74457
Mar-1992,75080
Apr-1992,74367
May-1992,74209
Jun-1992,74259
Jul-1992,76507
Aug-1992,75442
Sep-1992,76964
Oct-1992,76344
Nov-1992,75596
Dec-1992,74699
Jan-1993,76490
Feb-1993,75594
Mar-1993,75018
Apr-1993,76027
May-1993,77625
Jun-1993,75364
Jul-1993,74993
Aug-1993,75502
Sep-1993,76012
Oct-1993,75678
Nov-1993,76159
Dec-1993,73849
Jan-1994,75704
Feb-1994,75887
Mar-1994,77335
Apr-1994,76430
May-1994,76761
Jun-1994,77670
Jul-1994,78128
Aug-1994,79153
Sep-1994,79260
Oct-1994,80333
Nov-1994,80473
Dec-1994,81502
Jan-1995,82405
Feb-1995,83151
Mar-1995,82530
Apr-1995,84335
May-1995,83625
Jun-1995,85384
Jul-1995,85589
Aug-1995,85740
Sep-1995,85684
Oct-1995,86484
Nov-1995,87283
Dec-1995,87390
Jan-1996,87619
Feb-1996,88237
Mar-1996,89044
Apr-1996,89783
May-1996,89729
Jun-1996,90325
Jul-1996,92711
Aug-1996,93372
Sep-1996,91888
Oct-1996,93101
Nov-1996,92354
Dec-1996,91936
Jan-1997,93695
Feb-1997,94808
Mar-1997,94926
Apr-1997,92661
May-1997,93798
Jun-1997,92823
Jul-1997,92332
Aug-1997,92909
Sep-1997,93411
Oct-1997,93449
Nov-1997,92873
Dec-1997,92985
Jan-1998,93151
Feb-1998,92787
Mar-1998,93024
Apr-1998,92908
May-1998,93301
Jun-1998,92057
Jul-1998,93021
Aug-1998,92051
Sep-1998,93445
Oct-1998,94352
Nov-1998,94445
Dec-1998,95468
Jan-1999,93648
Feb-1999,93528
Mar-1999,95696
Apr-1999,96476
May-1999,98906
Jun-1999,99732
Jul-1999,99621
Aug-1999,100988
Sep-1999,102076
Oct-1999,102821
Nov-1999,104443
Dec-1999,104370
Jan-2000,105494
Feb-2000,106173
Mar-2000,108674
Apr-2000,108692
May-2000,109386
Jun-2000,112049
Jul-2000,111306
Aug-2000,110580
Sep-2000,112771
Oct-2000,113361
Nov-2000,113449
Dec-2000,116951
Jan-2001,116725
Feb-2001,115583
Mar-2001,112703
Apr-2001,113656
May-2001,114184
Jun-2001,112568
Jul-2001,112963
Aug-2001,113523
Sep-2001,114800
Oct-2001,112798
