Period,Value
Q1-2000,"NA"
Q2-2000,"NA"
Q3-2000,"NA"
Q4-2000,"NA"
Q1-2001,"NA"
Q2-2001,"NA"
Q3-2001,"NA"
Q4-2001,"NA"
Q1-2002,"NA"
Q2-2002,"NA"
Q3-2002,"NA"
Q4-2002,"NA"
Q1-2003,"NA"
Q2-2003,"NA"
Q3-2003,"NA"
Q4-2003,"NA"
Q1-2004,"NA"
Q2-2004,"NA"
Q3-2004,"NA"
Q4-2004,"NA"
Q1-2005,"NA"
Q2-2005,"NA"
Q3-2005,"NA"
Q4-2005,"NA"
Q1-2006,"NA"
Q2-2006,"NA"
Q3-2006,"NA"
Q4-2006,"NA"
Q1-2007,"NA"
Q2-2007,"NA"
Q3-2007,"NA"
Q4-2007,"NA"
Q1-2008,"NA"
Q2-2008,"NA"
Q3-2008,"NA"
Q4-2008,"NA"
Q1-2009,"NA"
Q2-2009,"NA"
Q3-2009,"NA"
Q4-2009,219001
Q1-2010,209650
Q2-2010,214402
Q3-2010,214263
Q4-2010,228243
Q1-2011,221728
Q2-2011,233411
Q3-2011,234436
Q4-2011,243338
Q1-2012,234886
Q2-2012,243418
Q3-2012,241405
Q4-2012,253324
Q1-2013,243800
Q2-2013,249524
Q3-2013,246436
Q4-2013,263497
Q1-2014,253161
Q2-2014,262451
Q3-2014,261198
Q4-2014,279430
Q1-2015,266978
Q2-2015,"NA"
Q3-2015,"NA"
Q4-2015,"NA"
