Period,Value
Q1-2000,"NA"
Q2-2000,"NA"
Q3-2000,"NA"
Q4-2000,1128790
Q1-2001,1082233
Q2-2001,1116597
Q3-2001,1062443
Q4-2001,1033734
Q1-2002,994073
Q2-2002,1071574
Q3-2002,1068667
Q4-2002,1082128
Q1-2003,1072017
Q2-2003,1096910
Q3-2003,1109436
Q4-2003,1118800
Q1-2004,1145872
Q2-2004,1248717
Q3-2004,1250976
Q4-2004,1288495
Q1-2005,1258442
Q2-2005,1352179
Q3-2005,1384246
Q4-2005,1416600
Q1-2006,1397414
Q2-2006,1485624
Q3-2006,1467143
Q4-2006,1432485
Q1-2007,1405836
Q2-2007,1526484
Q3-2007,1539399
Q4-2007,1588312
Q1-2008,1566418
Q2-2008,1724172
Q3-2008,1682270
Q4-2008,1401261
Q1-2009,1196693
Q2-2009,1253821
Q3-2009,1305867
Q4-2009,1353446
Q1-2010,1349210
Q2-2010,1461717
Q3-2010,1463507
Q4-2010,1481530
Q1-2011,1532484
Q2-2011,1657405
Q3-2011,1650561
Q4-2011,1645072
Q1-2012,1648177
Q2-2012,1689523
Q3-2012,1656755
Q4-2012,1673633
Q1-2013,1626424
Q2-2013,1703610
Q3-2013,1704177
Q4-2013,1709153
Q1-2014,1648649
Q2-2014,1766108
Q3-2014,1764331
Q4-2014,1720387
Q1-2015,1546937
Q2-2015,"NA"
Q3-2015,"NA"
Q4-2015,"NA"
