Period,Value
Q1-2000,"NA"
Q2-2000,"NA"
Q3-2000,"NA"
Q4-2000,31852
Q1-2001,34380
Q2-2001,30551
Q3-2001,25079
Q4-2001,19177
Q1-2002,17034
Q2-2002,19672
Q3-2002,20066
Q4-2002,21146
Q1-2003,23462
Q2-2003,22992
Q3-2003,23340
Q4-2003,25341
Q1-2004,28361
Q2-2004,29614
Q3-2004,31279
Q4-2004,33364
Q1-2005,34286
Q2-2005,37190
Q3-2005,39186
Q4-2005,46467
Q1-2006,45558
Q2-2006,44218
Q3-2006,45259
Q4-2006,47574
Q1-2007,45886
Q2-2007,50015
Q3-2007,51041
Q4-2007,53922
Q1-2008,58344
Q2-2008,65308
Q3-2008,67324
Q4-2008,53149
Q1-2009,44263
Q2-2009,43473
Q3-2009,45628
Q4-2009,49645
Q1-2010,52685
Q2-2010,48537
Q3-2010,51645
Q4-2010,54718
Q1-2011,57008
Q2-2011,63297
Q3-2011,68216
Q4-2011,70739
Q1-2012,69771
Q2-2012,74017
Q3-2012,77905
Q4-2012,81042
Q1-2013,78054
Q2-2013,80769
Q3-2013,85121
Q4-2013,87736
Q1-2014,93664
Q2-2014,97717
Q3-2014,99522
Q4-2014,91413
Q1-2015,69252
Q2-2015,"NA"
Q3-2015,"NA"
Q4-2015,"NA"
