Period,Value
Q1-2000,"NA"
Q2-2000,"NA"
Q3-2000,"NA"
Q4-2000,"NA"
Q1-2001,"NA"
Q2-2001,"NA"
Q3-2001,"NA"
Q4-2001,"NA"
Q1-2002,"NA"
Q2-2002,"NA"
Q3-2002,"NA"
Q4-2002,"NA"
Q1-2003,"NA"
Q2-2003,"NA"
Q3-2003,"NA"
Q4-2003,"NA"
Q1-2004,"NA"
Q2-2004,"NA"
Q3-2004,"NA"
Q4-2004,"NA"
Q1-2005,"NA"
Q2-2005,"NA"
Q3-2005,"NA"
Q4-2005,"NA"
Q1-2006,"NA"
Q2-2006,"NA"
Q3-2006,"NA"
Q4-2006,"NA"
Q1-2007,"NA"
Q2-2007,"NA"
Q3-2007,"NA"
Q4-2007,"NA"
Q1-2008,"NA"
Q2-2008,"NA"
Q3-2008,"NA"
Q4-2008,"NA"
Q1-2009,"NA"
Q2-2009,"NA"
Q3-2009,"NA"
Q4-2009,92537
Q1-2010,87983
Q2-2010,94328
Q3-2010,91614
Q4-2010,99537
Q1-2011,99209
Q2-2011,108681
Q3-2011,103302
Q4-2011,109274
Q1-2012,105118
Q2-2012,111422
Q3-2012,108632
Q4-2012,115288
Q1-2013,108078
Q2-2013,115651
Q3-2013,111480
Q4-2013,119329
Q1-2014,112036
Q2-2014,120028
Q3-2014,119067
Q4-2014,122881
Q1-2015,114332
Q2-2015,"NA"
Q3-2015,"NA"
Q4-2015,"NA"
