Period,Value
Q1-2000,"NA"
Q2-2000,"NA"
Q3-2000,"NA"
Q4-2000,356432
Q1-2001,318014
Q2-2001,331936
Q3-2001,328494
Q4-2001,376750
Q1-2002,336407
Q2-2002,350116
Q3-2002,348218
Q4-2002,386157
Q1-2003,354328
Q2-2003,364786
Q3-2003,379846
Q4-2003,428026
Q1-2004,394605
Q2-2004,405436
Q3-2004,409756
Q4-2004,456698
Q1-2005,426016
Q2-2005,442583
Q3-2005,446121
Q4-2005,497431
Q1-2006,468162
Q2-2006,486976
Q3-2006,484736
Q4-2006,531759
Q1-2007,497962
Q2-2007,510044
Q3-2007,502914
Q4-2007,550966
Q1-2008,511164
Q2-2008,531846
Q3-2008,518200
Q4-2008,533129
Q1-2009,486449
Q2-2009,497963
Q3-2009,497407
Q4-2009,549828
Q1-2010,519947
Q2-2010,530182
Q3-2010,526308
Q4-2010,581299
Q1-2011,554383
Q2-2011,580937
Q3-2011,572400
Q4-2011,617801
Q1-2012,589462
Q2-2012,593882
Q3-2012,589576
Q4-2012,643620
Q1-2013,603869
Q2-2013,623097
Q3-2013,622577
Q4-2013,675573
Q1-2014,624871
Q2-2014,657743
Q3-2014,654202
Q4-2014,703063
Q1-2015,637582
Q2-2015,"NA"
Q3-2015,"NA"
Q4-2015,"NA"
