Period,Value
Q1-2000,"NA"
Q2-2000,"NA"
Q3-2000,"NA"
Q4-2000,330326
Q1-2001,315767
Q2-2001,312695
Q3-2001,305188
Q4-2001,300546
Q1-2002,291024
Q2-2002,311816
Q3-2002,311129
Q4-2002,329214
Q1-2003,322785
Q2-2003,332204
Q3-2003,336202
Q4-2003,355000
Q1-2004,350167
Q2-2004,373237
Q3-2004,379029
Q4-2004,397986
Q1-2005,385491
Q2-2005,403500
Q3-2005,413886
Q4-2005,415838
Q1-2006,410229
Q2-2006,426536
Q3-2006,434920
Q4-2006,433214
Q1-2007,426077
Q2-2007,450476
Q3-2007,463752
Q4-2007,485904
Q1-2008,473551
Q2-2008,514971
Q3-2008,511189
Q4-2008,453619
Q1-2009,385079
Q2-2009,404348
Q3-2009,425566
Q4-2009,443065
Q1-2010,429586
Q2-2010,455778
Q3-2010,463619
Q4-2010,497051
Q1-2011,497885
Q2-2011,524681
Q3-2011,531469
Q4-2011,537333
Q1-2012,536481
Q2-2012,554277
Q3-2012,553081
Q4-2012,576286
Q1-2013,552624
Q2-2013,586196
Q3-2013,582498
Q4-2013,609134
Q1-2014,576860
Q2-2014,621739
Q3-2014,631560
Q4-2014,650967
Q1-2015,591462
Q2-2015,"NA"
Q3-2015,"NA"
Q4-2015,"NA"
