Period,Value
Q1-1956,6.2
Q2-1956,5.9
Q3-1956,6.3
Q4-1956,5.8
Q1-1957,5.3
Q2-1957,5.3
Q3-1957,5.7
Q4-1957,5.8
Q1-1958,6.3
Q2-1958,6.5
Q3-1958,6.3
Q4-1958,6.6
Q1-1959,6.8
Q2-1959,7.3
Q3-1959,7.2
Q4-1959,7
Q1-1960,8
Q2-1960,8
Q3-1960,8.3
Q4-1960,8.4
Q1-1961,8.9
Q2-1961,8.8
Q3-1961,8.6
Q4-1961,8.5
Q1-1962,8.5
Q2-1962,8.1
Q3-1962,8
Q4-1962,8.1
Q1-1963,8
Q2-1963,8.2
Q3-1963,8.3
Q4-1963,8.3
Q1-1964,8.1
Q2-1964,8.1
Q3-1964,8.4
Q4-1964,8.3
Q1-1965,8.5
Q2-1965,8.2
Q3-1965,7.8
Q4-1965,8.5
Q1-1966,8.3
Q2-1966,7.4
Q3-1966,7.4
Q4-1966,7.7
Q1-1967,7.3
Q2-1967,6.9
Q3-1967,7
Q4-1967,6.2
Q1-1968,6.1
Q2-1968,6.2
Q3-1968,5.9
Q4-1968,5.4
Q1-1969,5.6
Q2-1969,5.7
Q3-1969,5.5
Q4-1969,5.1
Q1-1970,5.4
Q2-1970,5.4
Q3-1970,5.3
Q4-1970,5.2
Q1-1971,5.3
Q2-1971,5.3
Q3-1971,5.6
Q4-1971,5.6
Q1-1972,5.3
Q2-1972,5.5
Q3-1972,5.8
Q4-1972,5.6
Q1-1973,5.7
Q2-1973,5.8
Q3-1973,5.8
Q4-1973,5.8
Q1-1974,6.2
Q2-1974,6.3
Q3-1974,6.2
Q4-1974,6
Q1-1975,6.1
Q2-1975,6.3
Q3-1975,6.2
Q4-1975,5.4
Q1-1976,5.5
Q2-1976,5.8
Q3-1976,5.7
Q4-1976,5.3
Q1-1977,5.1
Q2-1977,5.3
Q3-1977,5.4
Q4-1977,5.1
Q1-1978,5
Q2-1978,5.1
Q3-1978,5
Q4-1978,5
Q1-1979,5.1
Q2-1979,5.5
Q3-1979,5.7
Q4-1979,5.4
Q1-1980,5.2
Q2-1980,5.6
Q3-1980,5.7
Q4-1980,5
Q1-1981,5.2
Q2-1981,5
Q3-1981,5
Q4-1981,5
Q1-1982,5.3
Q2-1982,5.1
Q3-1982,5.3
Q4-1982,5.5
Q1-1983,5.7
Q2-1983,5.5
Q3-1983,5.8
Q4-1983,5.5
Q1-1984,5.6
Q2-1984,5.5
Q3-1984,6
Q4-1984,6.3
Q1-1985,6.3
Q2-1985,6.2
Q3-1985,6.8
Q4-1985,6.7
Q1-1986,6.9
Q2-1986,7.3
Q3-1986,7.5
Q4-1986,7.7
Q1-1987,7.4
Q2-1987,7.5
Q3-1987,8.1
Q4-1987,7.8
Q1-1988,8
Q2-1988,7.7
Q3-1988,7.8
Q4-1988,7.3
Q1-1989,7.5
Q2-1989,7.4
Q3-1989,7.6
Q4-1989,7.1
Q1-1990,7.5
Q2-1990,7
Q3-1990,7.2
Q4-1990,7.2
Q1-1991,7.5
Q2-1991,7.3
Q3-1991,7.6
Q4-1991,7.3
Q1-1992,7.4
Q2-1992,7.7
Q3-1992,7.3
Q4-1992,7.1
Q1-1993,7.8
Q2-1993,7.6
Q3-1993,7
Q4-1993,6.9
Q1-1994,7.5
Q2-1994,7.4
Q3-1994,7.2
Q4-1994,7.4
Q1-1995,7.4
Q2-1995,7.7
Q3-1995,7.7
Q4-1995,7.7
Q1-1996,7.9
Q2-1996,7.8
Q3-1996,8
Q4-1996,7.7
Q1-1997,7.5
Q2-1997,7.9
Q3-1997,7.9
Q4-1997,7.7
Q1-1998,7.7
Q2-1998,8
Q3-1998,8.2
Q4-1998,7.8
Q1-1999,8.2
Q2-1999,8.1
Q3-1999,8.2
Q4-1999,7.9
Q1-2000,7.9
Q2-2000,8
Q3-2000,8.2
Q4-2000,7.8
Q1-2001,8.2
Q2-2001,8.3
Q3-2001,8.4
Q4-2001,8.8
Q1-2002,9.1
Q2-2002,8.4
Q3-2002,9
Q4-2002,9.3
Q1-2003,9.4
Q2-2003,9.6
Q3-2003,9.9
Q4-2003,10.2
Q1-2004,10.4
Q2-2004,10.2
Q3-2004,10.1
Q4-2004,10
Q1-2005,10.1
Q2-2005,9.8
Q3-2005,9.9
Q4-2005,9.6
Q1-2006,9.5
Q2-2006,9.6
Q3-2006,9.9
Q4-2006,9.8
Q1-2007,10.1
Q2-2007,9.5
Q3-2007,9.8
Q4-2007,9.6
Q1-2008,10.1
Q2-2008,10
Q3-2008,9.9
Q4-2008,10.1
Q1-2009,10.1
Q2-2009,10.6
Q3-2009,11.1
Q4-2009,10.7
Q1-2010,10.6
Q2-2010,10.6
Q3-2010,10.3
Q4-2010,9.4
Q1-2011,9.7
Q2-2011,9.2
Q3-2011,9.8
Q4-2011,9.4
Q1-2012,8.8
Q2-2012,8.6
Q3-2012,8.6
Q4-2012,8.7
Q1-2013,8.6
Q2-2013,8.2
Q3-2013,8.3
Q4-2013,8.2
Q1-2014,8.3
Q2-2014,7.5
Q3-2014,7.4
Q4-2014,7
Q1-2015,7.1
Q2-2015,6.8
Q3-2015,"NA"
Q4-2015,"NA"
