Period,Value
Jan-1992,164083
Feb-1992,164260
Mar-1992,163747
Apr-1992,164759
May-1992,165617
Jun-1992,166098
Jul-1992,167305
Aug-1992,167797
Sep-1992,169407
Oct-1992,170681
Nov-1992,171025
Dec-1992,172995
Jan-1993,175078
Feb-1993,173770
Mar-1993,172328
Apr-1993,176766
May-1993,178445
Jun-1993,178201
Jul-1993,180759
Aug-1993,180692
Sep-1993,181800
Oct-1993,182910
Nov-1993,184746
Dec-1993,186339
Jan-1994,185128
Feb-1994,188077
Mar-1994,191588
Apr-1994,191632
May-1994,190940
Jun-1994,193196
Jul-1994,193763
Aug-1994,196157
Sep-1994,197754
Oct-1994,199579
Nov-1994,199723
Dec-1994,200670
Jan-1995,201583
Feb-1995,198383
Mar-1995,200230
Apr-1995,201048
May-1995,202993
Jun-1995,205507
Jul-1995,204959
Aug-1995,206529
Sep-1995,206978
Oct-1995,206157
Nov-1995,208661
Dec-1995,210434
Jan-1996,208731
Feb-1996,212011
Mar-1996,213855
Apr-1996,214644
May-1996,216304
Jun-1996,216059
Jul-1996,216374
Aug-1996,216355
Sep-1996,219240
Oct-1996,221039
Nov-1996,220989
Dec-1996,221898
Jan-1997,223524
Feb-1997,225409
Mar-1997,226136
Apr-1997,224588
May-1997,222906
Jun-1997,226048
Jul-1997,228738
Aug-1997,229317
Sep-1997,230284
Oct-1997,229822
Nov-1997,230486
Dec-1997,231197
Jan-1998,231605
Feb-1998,231664
Mar-1998,233043
Apr-1998,235976
May-1998,237055
Jun-1998,238958
Jul-1998,237423
Aug-1998,236412
Sep-1998,238542
Oct-1998,242531
Nov-1998,244307
Dec-1998,246577
Jan-1999,246891
Feb-1999,249510
Mar-1999,250657
Apr-1999,252418
May-1999,254738
Jun-1999,255472
Jul-1999,257441
Aug-1999,260253
Sep-1999,261352
Oct-1999,261825
Nov-1999,264883
Dec-1999,269876
Jan-2000,268091
Feb-2000,272020
Mar-2000,275214
Apr-2000,271004
May-2000,271418
Jun-2000,273440
Jul-2000,272638
Aug-2000,272943
Sep-2000,277523
Oct-2000,276973
Nov-2000,275923
Dec-2000,275736
Jan-2001,278916
Feb-2001,278799
Mar-2001,276468
Apr-2001,280804
May-2001,281540
Jun-2001,280399
Jul-2001,279522
Aug-2001,281423
Sep-2001,276095
Oct-2001,294613
Nov-2001,286960
Dec-2001,283708
Jan-2002,283577
Feb-2002,285061
Mar-2002,284263
Apr-2002,288820
May-2002,284994
Jun-2002,287401
Jul-2002,290427
Aug-2002,292582
Sep-2002,288434
Oct-2002,289634
Nov-2002,291475
Dec-2002,293819
Jan-2003,295294
Feb-2003,291178
Mar-2003,296347
Apr-2003,295643
May-2003,296395
Jun-2003,299662
Jul-2003,302788
