Period,Value
Jan-1992,808281
Feb-1992,809588
Mar-1992,812709
Apr-1992,815477
May-1992,815010
Jun-1992,820470
Jul-1992,825008
Aug-1992,826136
Sep-1992,827501
Oct-1992,827915
Nov-1992,829834
Dec-1992,835800
Jan-1993,835995
Feb-1993,838105
Mar-1993,844816
Apr-1993,846790
May-1993,847301
Jun-1993,849144
Jul-1993,849350
Aug-1993,850895
Sep-1993,855006
Oct-1993,855355
Nov-1993,859061
Dec-1993,863093
Jan-1994,863036
Feb-1994,867675
Mar-1994,868782
Apr-1994,871997
May-1994,882951
Jun-1994,888685
Jul-1994,894306
Aug-1994,902171
Sep-1994,908038
Oct-1994,913451
Nov-1994,919510
Dec-1994,926431
Jan-1995,935671
Feb-1995,942757
Mar-1995,951531
Apr-1995,959227
May-1995,965662
Jun-1995,969532
Jul-1995,972755
Aug-1995,976101
Sep-1995,980037
Oct-1995,984279
Nov-1995,986800
Dec-1995,985410
Jan-1996,990755
Feb-1996,991286
Mar-1996,989178
Apr-1996,992104
May-1996,993754
Jun-1996,993128
Jul-1996,997579
Aug-1996,999982
Sep-1996,1000707
Oct-1996,1004411
Nov-1996,1004506
Dec-1996,1004679
Jan-1997,1007729
Feb-1997,1010747
Mar-1997,1010305
Apr-1997,1014560
May-1997,1018486
Jun-1997,1024770
Jul-1997,1026658
Aug-1997,1028047
Sep-1997,1034388
Oct-1997,1038298
Nov-1997,1040132
Dec-1997,1045526
Jan-1998,1048213
Feb-1998,1055100
Mar-1998,1060252
Apr-1998,1062355
May-1998,1061567
Jun-1998,1061996
Jul-1998,1063956
Aug-1998,1066337
Sep-1998,1070761
Oct-1998,1073148
Nov-1998,1077657
Dec-1998,1077213
Jan-1999,1077169
Feb-1999,1082779
Mar-1999,1090054
Apr-1999,1092854
May-1999,1095935
Jun-1999,1098783
Jul-1999,1103992
Aug-1999,1105901
Sep-1999,1112239
Oct-1999,1115763
Nov-1999,1128351
Dec-1999,1137317
Jan-2000,1140009
Feb-2000,1146484
Mar-2000,1150707
Apr-2000,1157485
May-2000,1163965
Jun-2000,1174203
Jul-2000,1175310
Aug-2000,1183220
Sep-2000,1183425
Oct-2000,1189945
Nov-2000,1197034
Dec-2000,1195945
Jan-2001,1197985
Feb-2001,1191588
Mar-2001,1185970
Apr-2001,1184466
May-2001,1182105
Jun-2001,1173176
Jul-2001,1165048
Aug-2001,1163559
Sep-2001,1157150
Oct-2001,1139051
Nov-2001,1126207
Dec-2001,1118562
Jan-2002,1117668
Feb-2002,1112461
Mar-2002,1108281
Apr-2002,1107068
May-2002,1110572
Jun-2002,1113008
Jul-2002,1119162
Aug-2002,1120334
Sep-2002,1128492
Oct-2002,1130561
Nov-2002,1132298
Dec-2002,1139097
Jan-2003,1140161
Feb-2003,1148904
Mar-2003,1149294
Apr-2003,1150330
May-2003,1145185
Jun-2003,1142196
Jul-2003,1139486
Aug-2003,1132683
Sep-2003,1136824
Oct-2003,1142980
Nov-2003,1144926
Dec-2003,1147694
Jan-2004,1148846
Feb-2004,1158974
Mar-2004,1168294
Apr-2004,1176015
