Period,Value
Jan-1992,517614
Feb-1992,520336
Mar-1992,530741
Apr-1992,533340
May-1992,536747
Jun-1992,541503
Jul-1992,545225
Aug-1992,541365
Sep-1992,546740
Oct-1992,546043
Nov-1992,550307
Dec-1992,552172
Jan-1993,558834
Feb-1993,558337
Mar-1993,554961
Apr-1993,560916
May-1993,568507
Jun-1993,566310
Jul-1993,566323
Aug-1993,566653
Sep-1993,571344
Oct-1993,577026
Nov-1993,577704
Dec-1993,577117
Jan-1994,584321
Feb-1994,588458
Mar-1994,595183
Apr-1994,596712
May-1994,600178
Jun-1994,605075
Jul-1994,610294
Aug-1994,619481
Sep-1994,619861
Oct-1994,628011
Nov-1994,631771
Dec-1994,642350
Jan-1995,644674
Feb-1995,645296
Mar-1995,641155
Apr-1995,649552
May-1995,647749
Jun-1995,654826
Jul-1995,653413
Aug-1995,657875
Sep-1995,664747
Oct-1995,662167
Nov-1995,665467
Dec-1995,678386
Jan-1996,660416
Feb-1996,659670
Mar-1996,676135
Apr-1996,677539
May-1996,684017
Jun-1996,688424
Jul-1996,687282
Aug-1996,689695
Sep-1996,695677
Oct-1996,695111
Nov-1996,703144
Dec-1996,700539
Jan-1997,704021
Feb-1997,717855
Mar-1997,718063
Apr-1997,718076
May-1997,714690
Jun-1997,722179
Jul-1997,727840
Aug-1997,728086
Sep-1997,731819
Oct-1997,730061
Nov-1997,737475
Dec-1997,733839
Jan-1998,732082
Feb-1998,740044
Mar-1998,741493
Apr-1998,740101
May-1998,743037
Jun-1998,736244
Jul-1998,733557
Aug-1998,738149
Sep-1998,743396
Oct-1998,749921
Nov-1998,752462
Dec-1998,755915
Jan-1999,758101
Feb-1999,765362
Mar-1999,765174
Apr-1999,769715
May-1999,780935
Jun-1999,782033
Jul-1999,786070
Aug-1999,795406
Sep-1999,796480
Oct-1999,805341
Nov-1999,809453
Dec-1999,817567
Jan-2000,826097
Feb-2000,815944
Mar-2000,831215
Apr-2000,834307
May-2000,829136
Jun-2000,839138
Jul-2000,834292
Aug-2000,829308
Sep-2000,845362
Oct-2000,838423
Nov-2000,834148
Dec-2000,841834
Jan-2001,834232
Feb-2001,836691
Mar-2001,824182
Apr-2001,818707
May-2001,827388
Jun-2001,815297
Jul-2001,812210
Aug-2001,817388
Sep-2001,803422
Oct-2001,815741
Nov-2001,807941
Dec-2001,805982
Jan-2002,804917
Feb-2002,807908
Mar-2002,808719
Apr-2002,821803
May-2002,821792
Jun-2002,825024
Jul-2002,826416
Aug-2002,834842
Sep-2002,831765
Oct-2002,830513
Nov-2002,837266
Dec-2002,829770
Jan-2003,841385
Feb-2003,840943
Mar-2003,850817
Apr-2003,835201
May-2003,837027
Jun-2003,848312
Jul-2003,857619
Aug-2003,859257
Sep-2003,865501
Oct-2003,869268
Nov-2003,874313
Dec-2003,875798
Jan-2004,877049
Feb-2004,886001
Mar-2004,911536
Apr-2004,906446
May-2004,915439
Jun-2004,914953
Jul-2004,919588
Aug-2004,929253
Sep-2004,936653
Oct-2004,949472
